canton,year,building_type,product,n,price_median_chf_kwh,price_p10_chf_kwh,price_p90_chf_kwh,price_mean_chf_kwh,fixed_median_chf_year,fixed_p10_chf_year,fixed_p90_chf_year,grid_chf_kwh_mean,energy_supply_chf_kwh_mean,community_fees_chf_kwh_mean,kev_chf_kwh_mean,metering_var_chf_kwh_mean,price_ttc_median_chf_kwh,price_ttc_p10_chf_kwh,price_ttc_p90_chf_kwh
Bern,2020,maison_individuelle,Standard product,8.0,0.22625250000000002,0.196929,0.2769235,0.2320625,,,,0.113630625,0.08760499999999999,0.013219999999999999,0.023,,0.2445789525,0.212880249,0.29935430350000003
Bern,2021,appartement,Cheapest product,7.0,0.19027000000000002,0.152424,0.231182,0.18979857142857143,,,,0.08065142857142857,0.08208857142857141,0.004071428571428571,0.022999999999999996,,0.20568187000000002,0.164770344,0.249907742
Bern,2021,appartement,Standard product,7.0,0.19633,0.162412,0.228862,0.19424857142857146,,,,0.07895785714285715,0.08928642857142857,0.004185714285714286,0.022999999999999996,,0.21223273,0.175567372,0.247399822
Bern,2021,maison_individuelle,Cheapest product,8.0,0.23728,0.194019,0.278714,0.2365825,,,,0.11613625,0.08928625,0.013125000000000001,0.023,,0.25649968,0.209734539,0.301289834
Bern,2021,maison_individuelle,Standard product,8.0,0.2278975,0.199834,0.2777425,0.234505,,,,0.11285,0.08639374999999999,0.013219999999999999,0.023,,0.2463571975,0.216020554,0.30023964249999996
Bern,2022,appartement,Cheapest product,7.0,0.19634000000000001,0.163288,0.217704,0.1909985714285714,,,,0.07629714285714286,0.08778571428571429,0.004057142857142856,0.022999999999999996,,0.21224354,0.17651432799999997,0.235338024
Bern,2022,appartement,Standard product,7.0,0.20604,0.173288,0.2254,0.19993142857142857,,,,0.07629714285714286,0.09590833333333335,0.004085714285714285,0.022999999999999996,,0.22272924,0.18732432799999998,0.2436574
Bern,2022,maison_individuelle,Cheapest product,8.0,0.23119499999999998,0.19096600000000002,0.27312,0.23179125,,,,0.1076525,0.0895175,0.013125,0.023,,0.249921795,0.20643424600000002,0.29524271999999996
Bern,2022,maison_individuelle,Standard product,8.0,0.23246,0.200658,0.276545,0.23569125,,,,0.10765250000000001,0.09098395833333334,0.013125,0.023,,0.25128925999999996,0.216911298,0.29894514499999997
Bern,2023,appartement,Cheapest product,7.0,0.19934000000000002,0.170416,0.22224400000000002,0.19636857142857145,,,,0.08118285714285714,0.08778571428571429,0.004062857142857142,0.022999999999999996,,0.21548654,0.18421969600000002,0.24024576400000003
Bern,2023,appartement,Standard product,7.0,0.23104,0.180416,0.2546,0.21957642857142856,,,,0.08118285714285714,0.10147142857142857,0.004148571428571428,0.022999999999999996,,0.24975424,0.19502969599999997,0.2752226
Bern,2023,maison_individuelle,Cheapest product,8.0,0.23946,0.195734,0.282526,0.23920000000000002,,,,0.111665,0.09022749999999999,0.013125,0.023,,0.25885625999999995,0.21158845399999998,0.305410606
Bern,2023,maison_individuelle,Standard product,8.0,0.2548,0.217809,0.292526,0.25328625,,,,0.11166499999999999,0.10398375,0.0132575,0.023,,0.2754388,0.23545152899999996,0.316220606
Bern,2024,appartement,Cheapest product,7.0,0.23962,0.20855400000000002,0.266408,0.23764857142857143,,,,0.10480142857142859,0.10578571428571427,0.004062857142857143,0.022999999999999996,,0.25902922,0.22544687400000002,0.287987048
Bern,2024,appartement,Standard product,7.0,0.27385000000000004,0.218554,0.304,0.2626285714285715,,,,0.10480142857142857,0.11947142857142856,0.00451,0.022999999999999996,,0.29603185000000004,0.236256874,0.32862399999999997
Bern,2024,maison_individuelle,Cheapest product,8.0,0.28590000000000004,0.242218,0.33022599999999996,0.285755,,,,0.1395675,0.10822625,0.012812500000000001,0.023,,0.3090579,0.261837658,0.35697430599999996
