canton,year,profile,building_type,product,total_ex_vat_chf_kwh,grid_chf_kwh,energy_supply_chf_kwh,community_fees_chf_kwh,kev_chf_kwh,metering_var_chf_kwh,metering_fixed_chf_year,total_incl_vat_chf_kwh,grid_chf_kwh_incl_vat,energy_supply_chf_kwh_incl_vat,community_fees_chf_kwh_incl_vat,kev_chf_kwh_incl_vat,metering_var_chf_kwh_incl_vat
Grisons,2026,C4,appartement,Cheapest product,0.28542,0.13127,0.111,0.02,0.023,0.00016,78.0,0.30853902,0.14190287,0.119991,0.02162,0.024863,0.00017296
Lucerne,2021,H1,maison_individuelle,Cheapest product,0.17251000000000002,0.07641,0.06547,0.00764,0.023,,,0.18648331,0.08259921,0.07077307,0.00825884,0.024863,
Schwyz,2018,H5,maison_individuelle,Cheapest product,0.1833,0.08308,0.06371,0.0124,0.023,,,0.19814729999999997,0.08980948,0.06887051,0.013404399999999999,0.024863,
Basel Landschaft,2019,C4,appartement,Cheapest product,0.14022,0.04771,0.06480999999999999,0.004699999999999999,0.023,,,0.15157782,0.051574510000000004,0.07005961,0.005080699999999999,0.024863,
Zug,2019,C4,appartement,Cheapest product,0.14284,0.0649,0.054939999999999996,0.0,0.023,,,0.15441004,0.0701569,0.059390139999999994,0.0,0.024863,
Schwyz,2021,H1,maison_individuelle,Cheapest product,0.24748,0.12975,0.07543,0.0124,0.023,,,0.26752588,0.14025975,0.08153983,0.013404399999999999,0.024863,
Vaud,2021,H2,maison_individuelle,Cheapest product,0.24599000000000001,0.11632999999999999,0.08,0.026000000000000002,0.023,,,0.26591519,0.12575272999999998,0.08648,0.028106000000000003,0.024863,
Uri,2020,C4,appartement,Cheapest product,0.156,0.07846,0.04754,0.006999999999999999,0.023,,,0.16863599999999998,0.08481526,0.05139074,0.007566999999999999,0.024863,
Aargau,2022,H1,maison_individuelle,Cheapest product,0.25115,0.1416,0.07816,0.0084,0.023,,,0.27149314999999996,0.1530696,0.08449095999999999,0.009080399999999999,0.024863,
Grisons,2023,H5,maison_individuelle,Cheapest product,0.24205,0.09305,0.106,0.011399999999999999,0.023,,,0.26165605,0.10058704999999998,0.114586,0.012323399999999998,0.024863,
Zug,2023,H1,maison_individuelle,Cheapest product,0.30361,0.14232,0.1383,0.0,0.023,,,0.32820241,0.15384792,0.1495023,0.0,0.024863,
Glarus,2018,C4,appartement,Cheapest product,0.16530999999999998,0.07185,0.05946,0.003,0.023,,,0.17870010999999997,0.07766985,0.06427626,0.003243,0.024863,
Vaud,2020,H2,maison_individuelle,Cheapest product,0.22878,0.113,0.08378000000000001,0.009000000000000001,0.023,,,0.24731118,0.122153,0.09056618000000001,0.009729000000000002,0.024863,
Ticino,2025,H1,maison_individuelle,Cheapest product,0.29960000000000003,0.1478,0.1065,0.0223,0.023,,,0.32386760000000003,0.1597718,0.11512649999999999,0.0241063,0.024863,
Ticino,2024,C4,appartement,Cheapest product,0.30987,0.12287000000000001,0.14269,0.0213,0.023,,,0.33496947,0.13282247,0.15424789,0.0230253,0.024863,
Schwyz,2022,H1,maison_individuelle,Cheapest product,0.23747,0.13214,0.06983,0.0124,0.023,,,0.25670507,0.14284334,0.07548623,0.013404399999999999,0.024863,
Glarus,2024,H5,maison_individuelle,Cheapest product,0.32619,0.15619,0.13699999999999998,0.01,0.023,,,0.35261138999999997,0.16884138999999998,0.14809699999999998,0.01081,0.024863,
Zug,2026,H5,maison_individuelle,Cheapest product,0.23210999999999998,0.08702,0.10204,0.0106,0.023,0.009439999999999999,70.8,0.25091091,0.09406861999999999,0.11030524,0.0114586,0.024863,0.010204639999999997
