postcode;e;n;canton;locality
1486;2548484.0;1176412.0;FR;Vuissens
1489;2552062.0;1182674.0;FR;Murist
1509;2549363.0;1163993.0;VD;Vucherens
1510;2550237.052;1167601.513;VD;Syens
1512;2551861.0;1167471.0;VD;Chavannes-sur-Moudon
1513;2548598.136;1166428.565;VD;Rossenges
1514;2551901.0;1170715.0;VD;Bussy-sur-Moudon
1515;2550652.0;1172766.5;VD;Neyruz-sur-Moudon
1521;2554896.0;1172218.0;VD;Curtilles
1522;2552906.5;1172910.5;VD;Lucens
1523;2557862.0;1179180.0;VD;Granges-près-Marnand
1524;2558837.0;1178569.0;VD;Marnand
1525;2557237.903;1176143.889;VD;Henniez
1526;2553657.5;1175261.0;VD;Cremin
1527;2556447.0;1177478.0;FR;Villeneuve FR
1528;2555209.0;1176791.5;FR;Praratoud
1529;2554007.0;1177901.0;FR;Cheiry
1530;2561811.0;1185650.0;VD;Payerne
1532;2559971.0;1183015.0;FR;Fétigny
1533;2557388.0;1181476.0;FR;Ménières
1534;2555357.921;1180357.631;FR;Chapelle (Broye)
1535;2552662.0;1179155.0;VD;Combremont-le-Grand
1536;2551838.0;1177726.0;VD;Combremont-le-Petit
1537;2550386.0;1179019.0;VD;Champtauroz
1538;2551244.0;1180281.0;VD;Treytorrens (Payerne)
1541;2558047.333;1187726.667;FR;Bussy FR
1542;2560083.0;1189943.0;FR;Rueyres-les-Prés
1543;2561156.0;1191330.0;VD;Grandcour
1544;2561667.0;1194561.0;FR;Gletterens
1545;2559281.0;1193302.0;VD;Chevroux
1551;2562314.0;1183178.0;VD;Vers-chez-Perrin
1552;2560549.0;1180108.0;VD;Trey
1553;2561777.0;1178086.0;FR;Châtonnaye
1554;2561008.5;1176888.0;VD;Rossens VD
1555;2559816.0;1177545.0;VD;Villarzel
1562;2563529.457;1186802.712;VD;Corcelles-près-Payerne
1563;2565758.0;1189087.0;FR;Dompierre FR
1564;2567686.726;1190508.31;FR;Domdidier
1565;2563609.0;1192252.0;VD;Missy
1566;2565415.0;1194045.0;FR;Les Friques
1567;2564124.0;1195761.0;FR;Delley
1568;2563220.0;1196477.0;FR;Portalban
1580;2570035.048;1191133.815;VD;Donatyre
1583;2572414.0;1192594.0;FR;Villarepos
1584;2565856.0;1195055.0;VD;Villars-le-Grand
1585;2568637.667;1196828.0;VD;Bellerive VD
1586;2569570.0;1197659.0;VD;Vallamand
1587;2567403.0;1196865.5;VD;Constantine
1588;2568306.0;1200388.0;VD;Cudrefin
1589;2565079.0;1197330.0;VD;Chabrey
1595;2572952.0;1194756.0;FR;Clavaleyres
1607;2552875.641;1155223.776;VD;Les Tavernes
1608;2554719.75;1158583.5;VD;Bussigny-sur-Oron
1609;2556991.667;1159200.667;FR;Besencens
1610;2552215.333;1157783.0;VD;Châtillens
1611;2559970.0;1161823.0;FR;Le Crêt-près-Semsales
1612;2555668.0;1155185.0;VD;Ecoteaux
1613;2556531.0;1155777.0;VD;Maracon
1614;2553272.0;1152865.0;FR;Granges (Veveyse)
1615;2554921.0;1152864.0;FR;Bossonnens
1616;2554898.0;1151021.0;FR;Attalens
1617;2556711.0;1153077.0;FR;Remaufens
