Canton,Consumption profiles of typical households,Period,Product,Total excl. VAT (Rp./kWH),Grid usage (Rp./kWH),Energy supply costs (Rp./kWH),Community fees (Rp./kWH),Feed-in remuneration at cost (KEV) (Rp./kWH),Metering rate (Rp./kWH),Tariff for metering in CHF per year
Ticino,H6,2012,Standard product,13.862,5.085,7.077,2,0.45,-,-
Glarus,H6,2022,Standard product,18.108,8.208,6.6,0.3,2.3,-,-
Obwalden,H6,2022,Standard product,17.473,7.553,6.22,1.4,2.3,-,-
Glarus,H6,2019,Standard product,17.43,7.13,6.9,0.3,2.3,-,-
Obwalden,H6,2011,Standard product,13.177,6.362,6.366,0,0.45,-,-
Appenzell Innerrhoden,H6,2016,Standard product,12.269,5.695,5.274,0,1.3,-,-
Basel Stadt,H6,2024,Standard product,28.443,11.21,8.13,6.802,2.3,-,-
Glarus,H6,2021,Standard product,17.254,7.104,6.85,0.3,2.3,-,-
Basel Stadt,H6,2019,Standard product,21.319,6.274,6.048,6.698,2.3,-,-
Obwalden,H6,2013,Standard product,14.495,5.871,6.974,1.2,0.45,-,-
Ticino,H6,2016,Standard product,15.007,5.571,5.661,2.04,1.3,-,-
Ticino,H6,2015,Standard product,15.128,5.795,5.998,1.96,1.1,-,-
Glarus,H6,2023,Standard product,25.949,10.859,11.79,0.3,2.3,-,-
Appenzell Ausserrhoden,H6,2012,Standard product,13.315,6.105,6.76,0,0.45,-,-
Ticino,H6,2013,Standard product,14.889,4.659,7.462,2,0.45,-,-
Ticino,H6,2024,Standard product,27.259,9.497,13.332,2.13,2.3,-,-
Obwalden,H6,2025,Standard product,23.572,11.119,8.753,1.4,2.3,-,-
Ticino,H6,2011,Standard product,14.929,6.012,6.925,2,0.45,-,-
Jura,H6,2013,Standard product,14.066,4.853,7.503,1.26,0.45,-,-
Thurgau,H6,2015,Standard product,14.633,7.374,5.685,0.27,1.1,-,-
Neuchâtel,H6,2020,Standard product,15.537,4.668,5.983,1.6,2.3,-,-
Appenzell Ausserrhoden,H6,2020,Standard product,14.724,5.184,7.24,0,2.3,-,-
Vaud,H6,2018,Standard product,15.999,5.826,6.972,0.9,2.3,-,-
Thurgau,H6,2026,Standard product,25.494,9.78,12.9,0.245,2.3,0.259,64.8
Nidwalden,H6,2026,Standard product,18.205,8.497,6.144,1,2.3,0.264,66
Jura,H6,2016,Standard product,15.993,6.416,7.017,1.26,1.3,-,-
Basel Landschaft,H6,2024,Standard product,27.714,10.799,14.202,0.413,2.3,-,-
Appenzell Innerrhoden,H6,2023,Standard product,22.086,6.013,13.774,0,2.3,-,-
Vaud,H6,2020,Standard product,15.875,5.602,6.872,1,2.3,-,-
Basel Landschaft,H6,2017,Standard product,16.464,6.675,7.73,0.559,1.5,-,-
Vaud,H6,2024,Standard product,25.803,8.974,12.509,1.62,2.3,-,-
Jura,H6,2014,Standard product,15.335,5.458,8.017,1.26,0.6,-,-
Nidwalden,H6,2022,Standard product,15.667,6.223,6.144,1,2.3,-,-
Uri,H6,2021,Standard product,16.748,6.914,6.534,1,2.3,-,-
Glarus,H6,2014,Standard product,16.268,8.053,5.588,0.3,0.6,-,-
Vaud,H6,2019,Standard product,16.122,5.7,7.072,1,2.3,-,-
Uri,H6,2011,Standard product,14.982,7.412,6.52,0.6,0.45,-,-
Appenzell Innerrhoden,H6,2019,Standard product,13.859,5.378,6.181,0,2.3,-,-
Schaffhausen,H6,2018,Standard product,15.581,7.5,5.781,0,2.3,-,-
Ticino,H6,2025,Standard product,23.506,8.966,10.623,2.23,2.3,-,-
Appenzell Ausserrhoden,H6,2019,Standard product,14.201,5.271,6.63,0,2.3,-,-
Uri,H6,2013,Standard product,15.672,7.01,7.49,0.722,0.45,-,-
Obwalden,H6,2024,Standard product,26.035,10.536,11.799,1.4,2.3,-,-
Uri,H6,2020,Standard product,17.188,6.914,6.974,1,2.3,-,-
Schaffhausen,H6,2017,Standard product,14.957,7.851,5.52,0,1.5,-,-
Basel Landschaft,H6,2011,Standard product,10.859,3.656,6.633,0.12,0.45,-,-
Vaud,H6,2021,Standard product,15.706,5.624,6.211,1.42,2.3,-,-
Schaffhausen,H1,2024,Standard product,34.76,20.1,12.36,0,2.3,-,-
Schaffhausen,H1,2014,Standard product,22.5665,13.5015,8.25,0,0.6,-,-
Schwyz,H1,2013,Standard product,23.26,13.295,8.833,0.55,0.45,-,-
Basel Stadt,H1,2026,Standard product,35.508,11.46,10.915,7.458,2.3,3.375,54
Schaffhausen,H1,2019,Standard product,25.536,16.016,7.22,0,2.3,-,-
Obwalden,H1,2017,Standard product,26.128,15.238,7.99,1.4,1.5,-,-
Ticino,H1,2022,Standard product,24.7,12.65,8.35,2.19,2.3,-,-
Thurgau,H1,2020,Standard product,25.328,15.009,7.092,0.3,2.3,-,-
Aargau,H1,2011,Standard product,23.188,13.897,8.053,0.75,0.45,-,-
Basel Stadt,H1,2022,Standard product,28.479,10.736,7.953,7.49,2.3,-,-
Basel Landschaft,H1,2026,Standard product,37.17,17.278,13.766,0.826,2.3,3,48
Obwalden,H1,2018,Standard product,27.466,15.158,8.608,1.4,2.3,-,-
Aargau,H1,2012,Standard product,22.878,13.587,8.053,0.75,0.45,-,-
Zug,H1,2016,Standard product,21.311,12.2935,7.3925,0.235,1.3,-,-
Basel Landschaft,H1,2020,Standard product,25.614,13.359,9.304,0.651,2.3,-,-
Zurich,H1,2017,Standard product,18.8475,10.199,5.832,0.3,1.5,-,-
Basel Stadt,H1,2025,Standard product,33.941,13.209,10.915,7.516,2.3,-,-
Zug,H1,2024,Standard product,44.517,16.637,25.09,0.49,2.3,-,-
Neuchâtel,H1,2026,Standard product,34.8425,12.198,14.946,1.6,1.15,4.5,72
Aargau,H1,2013,Standard product,23.171,13.437,8.58,0.7,0.45,-,-
Basel Landschaft,H1,2019,Standard product,25.869,13.359,9.352,0.858,2.3,-,-
Zug,H1,2015,Standard product,22.46,12.7595,8.275,0.325,1.1,-,-
Lucerne,H1,2018,Standard product,23.482,10.234,9.925,1.023,2.3,-,-
Neuchâtel,H1,2022,Standard product,27.255,14.59,9.05,1.6,2.3,-,-
Appenzell Ausserrhoden,H1,2025,Standard product,32.02,13.93,15.79,0,2.3,-,-
Neuchâtel,H1,2018,Standard product,25.95,13.61,8.34,1.7,2.3,-,-
Schwyz,H1,2014,Standard product,23.398,13.995,7.524,0.55,0.6,-,-
Basel Landschaft,H1,2012,Standard product,26.178,14.63,10.369,0.73,0.45,-,-
Appenzell Ausserrhoden,H1,2016,Standard product,20.55,11.9,7.35,0,1.3,-,-
Basel Landschaft,H1,2015,Standard product,24.395,13.079,9.268,0.948,1.1,-,-
Aargau,H1,2025,Standard product,35.096,16.732,15.107,0.75,2.3,-,-
Thurgau,H1,2016,Standard product,23.957,16.0335,5.955666666666667,0.26,1.3,-,-
Obwalden,H1,2024,Standard product,35.002,17.028,14.274,1.4,2.3,-,-
Thurgau,H1,2023,Standard product,32.547,16.36,13.844,0.3,2.3,-,-
Appenzell Ausserrhoden,H1,2018,Standard product,21.41,11.37,7.74,0,2.3,-,-
Schwyz,H1,2016,Standard product,22.876,13.825,6.611,0.66,1.3,-,-
Basel Stadt,H1,2013,Standard product,22.967,7.711,7.946,6.86,0.45,-,-
Basel Landschaft,H1,2024,Standard product,37.046,18.385,15.637,0.724,2.3,-,-
Zurich,H1,2011,Standard product,21.844,13.278,7.949,0,0.45,-,-
Appenzell Ausserrhoden,H1,2026,Standard product,36.808,16.23,13.89,0,2.3,4.388,70.2
Thurgau,H1,2026,Standard product,36.974,16.83,13.4,0.245,2.3,4.05,64.8
Lucerne,H1,2021,Standard product,17.811,7.641,7.107,0.764,2.3,-,-
Zurich,H1,2022,Standard product,22.027,10.371,8.287,0.16,2.3,-,-
Schwyz,H1,2026,Standard product,32.378,11.299,13.028,0.81,2.3,4.875,78
Zug,H1,2025,Standard product,31.722,15.772,13.65,0,2.3,-,-
Zug,H1,2012,Standard product,24.074,13.463,9.4385,0.235,0.45,-,-
Appenzell Ausserrhoden,H1,2020,Standard product,22.38,10.81,9.27,0,2.3,-,-
Thurgau,H1,2014,Standard product,23.829,15.67,7.015,0.245,0.6,-,-
Appenzell Ausserrhoden,H1,2019,Standard product,21.95,10.99,8.66,0,2.3,-,-
Basel Landschaft,H1,2016,Standard product,24.125,13.422,8.505,0.897,1.3,-,-
Zug,H1,2014,Standard product,23.4715,13.927,8.664,0.28,0.6,-,-
Thurgau,H1,2021,Standard product,24.924,14.708,7.29,0.3,2.3,-,-
Basel Landschaft,H1,2018,Standard product,25.905,13.354,9.352,0.9,2.3,-,-
Aargau,H1,2024,Standard product,39.77,17.577,18.959,0.75,2.3,-,-
Zurich,H1,2026,Standard product,28.616,11.035,13.588,0.16,2.3,3.75,60
Zug,H1,2019,Standard product,24.267,14.261,7.216,0.49,2.3,-,-
Solothurn,H1,2020,Standard product,27.282,14.185,9.05,1,2.3,-,-
Basel Landschaft,H1,2011,Standard product,28.691,13.789,13.902,0.55,0.45,-,-
Fribourg,H1,2020,Standard product,26.292,14.484,9.508,0,2.3,-,-
Uri,H1,2016,Standard product,28.84,17.6,8.13,1.81,1.3,-,-
Vaud,H1,2014,Standard product,24.635,12.875,10.26,0.9,0.6,-,-
Grisons,H1,2012,Standard product,24.453,14.19,10.7,0.8,0.45,-,-
Fribourg,H1,2021,Standard product,26.292,14.484,9.508,0,2.3,-,-
Vaud,H1,2026,Standard product,35.737,12.505,14.65,1.624,2.3,4.958,79.32
Appenzell Innerrhoden,H1,2014,Standard product,22.99,13.89,8.5,0,0.6,-,-
Lucerne,H1,2016,Standard product,21.3,10.234,8.625,1.023,1.3,-,-
Bern,H1,2020,Standard product,30.3065,16.36,9.729,1.5,2.3,-,-
Nidwalden,H1,2011,Standard product,23.011,15.552,6.089,0.92,0.45,-,-
Geneva,H1,2025,Standard product,25.761,11.241,10.766,1.453,2.3,-,-
Appenzell Innerrhoden,H1,2016,Standard product,20.425,11.725,7.4,0,1.3,-,-
Uri,H1,2022,Standard product,28.09,17.46,7.33,1,2.3,-,-
Vaud,H1,2023,Standard product,36.58,14.81,18.15,1.57,2.3,-,-
Geneva,H1,2013,Standard product,18.346,7.073,9.72,1.103,0.45,-,-
Geneva,H1,2018,Standard product,20.901,8.682,8.687,1.233,2.3,-,-
Appenzell Innerrhoden,H1,2015,Standard product,21.215,11.815,8.3,0,1.1,-,-
Appenzell Innerrhoden,H1,2021,Standard product,23.545,13.745,7.5,0,2.3,-,-
Vaud,H1,2025,Standard product,36.14,18.54,13.98,1.62,2.3,-,-
Bern,H1,2018,Standard product,28.2475,16.25,9.625,1.5,2.3,-,-
Jura,H1,2013,Standard product,27.41,14.56,10.9,1.5,0.45,-,-
Geneva,H1,2022,Standard product,20.205,8.43,8.365,1.11,2.3,-,-
Nidwalden,H1,2018,Standard product,24.694,14.236,7.158,1,2.3,-,-
Lucerne,H1,2020,Standard product,13.668,7.641,2.963,0.764,2.3,-,-
Schaffhausen,H1,2026,Standard product,35.435,15.48,12.63,0,2.3,5.025,80.4
Uri,H1,2011,Standard product,29.13,18.12,9,1.56,0.45,-,-
Bern,H1,2025,Standard product,34.763,18.005,13.43,1.5,2.3,-,-
Schaffhausen,H1,2016,Standard product,25.568,16.079,7.7,0,1.3,-,-
Vaud,H1,2018,Standard product,24.665,12.565,8.9,0.9,2.3,-,-
Aargau,H1,2023,Standard product,30.486,14.86,13.49,0.75,2.3,-,-
Ticino,H1,2018,Standard product,21.904,10.77,7.55,2.15,2.3,-,-
Aargau,H1,2019,Standard product,23.69,14.19,7.013,0.8,2.3,-,-
Solothurn,H1,2018,Standard product,26.65,14.17,7.673,1,2.3,-,-
Lucerne,H1,2024,Standard product,29.363,10.091,15.843,1.009,2.3,-,-
Thurgau,H1,2017,Standard product,22.98,15.42,5.53,0.3,1.5,-,-
Thurgau,H1,2024,Standard product,37.254,18.827,15.877,0.3,2.3,-,-
Zug,H1,2011,Standard product,25.98,15.9905,9.2595,0.28,0.45,-,-
Zug,H1,2018,Standard product,24.296,14.509,6.997,0.49,2.3,-,-
Basel Landschaft,H1,2014,Standard product,24.508,13.014,10.104,0.79,0.6,-,-
Appenzell Ausserrhoden,H1,2023,Standard product,30.26,12.11,15.85,0,2.3,-,-
St Gallen,H1,2013,Standard product,25.102,14.864,8.491,0.9,0.45,-,-
Appenzell Ausserrhoden,H1,2014,Standard product,20.47,11.59,8.28,0,0.6,-,-
Zug,H1,2020,Standard product,26.527,15.031,8.706,0.49,2.3,-,-
Appenzell Ausserrhoden,H1,2022,Standard product,23.77,11.91,9.56,0,2.3,-,-
Geneva,H1,2026,Standard product,28.679,10.164,9.909,1.281,2.3,5.025,80.4
Geneva,H1,2015,Standard product,21.36,9.118,9.72,1.423,1.1,-,-
Lucerne,H1,2019,Standard product,20.536,8.502,8.883,0.85,2.3,-,-
Geneva,H1,2011,Standard product,20.613,8.159,10.731,1.273,0.45,-,-
Lucerne,H1,2012,Standard product,27.854,14.39,11.575,1.439,0.45,-,-
Vaud,H1,2020,Standard product,25.095,13.095,8.8,1,2.3,-,-
Bern,H1,2021,Standard product,30.3065,16.618,10.0455,1.5,2.3,-,-
Basel Landschaft,H1,2022,Standard product,25.609,14.315,8.304,0.69,2.3,-,-
Fribourg,H1,2024,Standard product,37.566,17.234,18.032,0,2.3,-,-
Basel Landschaft,H1,2025,Standard product,36.85,18.459,15.316,0.775,2.3,-,-
Aargau,H1,2022,Standard product,25.115,14.16,7.8015,0.8,2.3,-,-
Vaud,H1,2022,Standard product,25.325,13.325,7.98,1.52,2.3,-,-
Nidwalden,H1,2019,Standard product,24.175,13.992,6.884,1,2.3,-,-
Geneva,H1,2021,Standard product,19.914,8.162,8.375,1.077,2.3,-,-
Ticino,H1,2011,Standard product,24.282,12.809,9.32,2,0.45,-,-
Schaffhausen,H1,2025,Standard product,37.2,21.28,13.62,0,2.3,-,-
Zug,H1,2017,Standard product,20.7105,12.015,6.8705,0.235,1.5,-,-
Appenzell Ausserrhoden,H1,2012,Standard product,21.9,12.66,8.79,0,0.45,-,-
Lucerne,H1,2015,Standard product,21.26,10.234,8.785,1.08,1.1,-,-
Aargau,H1,2014,Standard product,23.576,14.442,7.63,0.73,0.6,-,-
Basel Landschaft,H1,2021,Standard product,24.614,13.359,8.304,0.651,2.3,-,-
Neuchâtel,H1,2015,Standard product,26.576,14.67,9.108,1.56,1.1,-,-
Basel Stadt,H1,2023,Standard product,31.803,11.565,10.396,7.542,2.3,-,-
Basel Stadt,H1,2014,Standard product,24.235,8.484,8.153,6.998,0.6,-,-
Vaud,H6,2015,Standard product,16.016,6.174,7.842,0.9,1.1,-,-
Schaffhausen,H6,2026,Standard product,29.732,14.48,12.63,0,2.3,0.322,80.4
Schwyz,H1,2019,Standard product,24.382,13.151,6.529,0.7,2.3,-,-
Aargau,H1,2021,Standard product,24.163,13.735,7.314,0.8,2.3,-,-
Schwyz,H1,2012,Standard product,22.351,14.245,8.574,0.6,0.45,-,-
Ticino,H1,2016,Standard product,23.675,11.6,7.9,2.04,1.3,-,-
Schaffhausen,H1,2022,Standard product,24.363,14.723,7.34,0,2.3,-,-
Thurgau,H1,2025,Standard product,37.053,18.609,15.478,0.2,2.3,-,-
Schwyz,H1,2017,Standard product,23.282,13.775,6.149,0.7,1.5,-,-
Glarus,H1,2016,Standard product,26.45,17.7,7.2,0.3,1.3,-,-
Basel Stadt,H1,2015,Standard product,25.335,9.022,8.153,7.06,1.1,-,-
Basel Stadt,H1,2016,Standard product,26.071,9.327,8.153,7.291,1.3,-,-
Glarus,H1,2026,Standard product,34.98,16.78,10.4,0.3,2.3,4.5,72
Basel Landschaft,H1,2017,Standard product,25.534,13.434,9.74,0.86,1.5,-,-
Neuchâtel,H1,2021,Standard product,25.7,13.58,8.32,1.5,2.3,-,-
Basel Landschaft,H1,2023,Standard product,35.526,15.68,16.873,0.674,2.3,-,-
Glarus,H1,2014,Standard product,26.24,19.14,8,0.3,0.6,-,-
Solothurn,H1,2016,Standard product,24.553,14.53,7.7115,1,1.3,-,-
Ticino,H1,2026,Standard product,31.974,13.455,11.395,2.22,2.3,3.75,60
Schaffhausen,H6,2012,Standard product,11.782,5.854,6.0055,0,0.45,-,-
Vaud,H6,2014,Standard product,15.953,6.211,8.042,0.9,0.6,-,-
Fribourg,H6,2021,Standard product,13.937,4.263,7.373,0,2.3,-,-
Neuchâtel,H6,2025,Standard product,23.7315,8.042,11.7895,1.6,2.3,-,-
Schaffhausen,H6,2025,Standard product,27.998,12.078,13.62,0,2.3,-,-
Jura,H6,2025,Standard product,20.098,6.859,10.086,0.854,2.3,-,-
Vaud,H6,2025,Standard product,26.655,10.72,11.999,1.62,2.3,-,-
Appenzell Innerrhoden,H6,2015,Standard product,13.159,5.785,6.274,0,1.1,-,-
Thurgau,H6,2022,Standard product,16.762,7.086,6.752,0.3,2.3,-,-
Uri,H6,2025,Standard product,25.757,8.467,13.99,1,2.3,-,-
Fribourg,H6,2012,Standard product,13.138,5.883,6.805,0,0.45,-,-
Schaffhausen,H6,2011,Standard product,12.526,7.2725,5.7145,0,0.45,-,-
Appenzell Innerrhoden,H6,2021,Standard product,14.165,5.098,6.767,0,2.3,-,-
Appenzell Ausserrhoden,H6,2022,Standard product,16.011,6.181,7.53,0,2.3,-,-
Neuchâtel,H6,2022,Standard product,15.841,6.618,6.824,1.6,2.3,-,-
Fribourg,H6,2024,Standard product,24.799,7.013,15.486,0,2.3,-,-
Appenzell Innerrhoden,H6,2014,Standard product,13.752,6.585,6.567,0,0.6,-,-
Uri,H6,2022,Standard product,16.748,6.914,6.534,1,2.3,-,-
Vaud,H6,2026,Standard product,26.196,9.108,13.147,1.624,2.3,0.317,79.32
Vaud,H6,2022,Standard product,16.242,5.746,6.211,1.52,2.3,-,-
Schaffhausen,H6,2015,Standard product,14.7325,6.8375,6.713,0,1.1,-,-
Nidwalden,H6,2018,Standard product,15.955,6.033,6.622,1,2.3,-,-
Jura,H6,2011,Standard product,14.32,5.345,7.265,1.26,0.45,-,-
Thurgau,H6,2011,Standard product,13.464,6.076,6.834,0.25,0.45,-,-
Basel Landschaft,H6,2012,Standard product,11.616,3.67,7.256,0.24,0.45,-,-
Basel Landschaft,H6,2026,Standard product,26.996,10.92,13.133,0.451,2.3,0.192,48
Nidwalden,H6,2019,Standard product,15.791,5.92,6.571,1,2.3,-,-
Thurgau,H6,2025,Standard product,26.5,9.434,14.678,0.2,2.3,-,-
Jura,H6,2012,Standard product,13.978,5.003,7.265,1.26,0.45,-,-
Thurgau,H1,2012,Standard product,24.381,15.534,8.016,0.28,0.45,-,-
Appenzell Ausserrhoden,H1,2024,Standard product,33.68,14.3,17.08,0,2.3,-,-
Obwalden,H1,2025,Standard product,31.926,17.351,10.875,1.4,2.3,-,-
Schaffhausen,H1,2023,Standard product,29.083,16.922,9.86,0,2.3,-,-
Neuchâtel,H1,2011,Standard product,29.1,15.15,10.97,1.56,0.45,-,-
Appenzell Ausserrhoden,H1,2021,Standard product,23.47,11.51,9.66,0,2.3,-,-
Glarus,H1,2017,Standard product,26.285,17.65,7.2,0.3,1.5,-,-
Zurich,H1,2019,Standard product,20.741,9.507,7.697,0.32,2.3,-,-
Thurgau,H1,2019,Standard product,24.205,14.86,6.188,0.31,2.3,-,-
Solothurn,H1,2011,Standard product,28.552,17.82,10.1,1,0.45,-,-
Aargau,H1,2018,Standard product,23.743,14.27,6.088,0.8,2.3,-,-
Schaffhausen,H1,2020,Standard product,25.665,15.935,7.43,0,2.3,-,-
Glarus,H1,2015,Standard product,26.64,19.04,7.3,0.3,1.1,-,-
Schaffhausen,H1,2013,Standard product,24.635,12.735,11.45,0,0.45,-,-
Ticino,H1,2015,Standard product,23.515,11.39,8.05,1.96,1.1,-,-
Thurgau,H1,2013,Standard product,23.781,14.185,8.331,0.28,0.45,-,-
Basel Stadt,H1,2020,Standard product,27.765,10.031,7.953,7.481,2.3,-,-
Solothurn,H1,2013,Standard product,25.945,14.56,9.97,1,0.45,-,-
Ticino,H1,2023,Standard product,30.815,13.36,12.65,2.13,2.3,-,-
Basel Landschaft,H1,2013,Standard product,25.773,14.144,10.469,0.71,0.45,-,-
Basel Stadt,H1,2021,Standard product,27.765,10.031,7.953,7.481,2.3,-,-
Schwyz,H1,2018,Standard product,24.382,13.695,6.149,0.7,2.3,-,-
Zug,H1,2023,Standard product,37.909,15.933,19.186,0.49,2.3,-,-
Aargau,H1,2017,Standard product,22.454,14.398,5.784,0.75,1.5,-,-
Basel Stadt,H1,2011,Standard product,23.235,8.668,7.946,6.17,0.45,-,-
Aargau,H1,2015,Standard product,23.234,14.561,6.88,0.73,1.1,-,-
St Gallen,H1,2020,Standard product,24.092,13.285,7.878,0.65,2.3,-,-
Thurgau,H1,2018,Standard product,23.715,15.344,5.636,0.3,2.3,-,-
Zug,H1,2021,Standard product,26.717,15.051,8.876,0.49,2.3,-,-
Schwyz,H1,2020,Standard product,24.768,13.028,7.938,0.7,2.3,-,-
Zurich,H1,2020,Standard product,21.213,9.507,8.411,0.32,2.3,-,-
Basel Stadt,H1,2018,Standard product,28.029,10.191,7.953,7.585,2.3,-,-
Schwyz,H1,2015,Standard product,23.317,13.515,7.126,0.47,1.1,-,-
Neuchâtel,H1,2025,Standard product,38.273,17.567,16,1.6,2.3,-,-
Aargau,H1,2016,Standard product,22.99,14.748,6.084,0.8,1.3,-,-
Thurgau,H1,2011,Standard product,24.011,15.272,7.975,0.25,0.45,-,-
St Gallen,H1,2014,Standard product,24.814,15.905,7.649,0.65,0.6,-,-
Basel Stadt,H1,2017,Standard product,26.669,9.871,7.953,7.345,1.5,-,-
Appenzell Ausserrhoden,H1,2011,Standard product,25.845,16.695,8.1,0.6,0.45,-,-
Schwyz,H1,2022,Standard product,24.189,13.214,7.952,0.81,2.3,-,-
Appenzell Ausserrhoden,H1,2017,Standard product,20.23,11.8,6.93,0,1.5,-,-
Obwalden,H1,2022,Standard product,26.61,14.26,8.65,1.4,2.3,-,-
Basel Stadt,H1,2019,Standard product,27.949,10.111,7.953,7.585,2.3,-,-
Neuchâtel,H1,2016,Standard product,26.226,15.29,9.108,1.56,1.3,-,-
St Gallen,H1,2015,Standard product,24.855,15.732,7.239,0.68,1.1,-,-
Schaffhausen,H1,2012,Standard product,25.6315,13.647,10.801,0,0.45,-,-
Obwalden,H1,2011,Standard product,29.338,18.083,10.804,0,0.45,-,-
Solothurn,H1,2017,Standard product,25.09,14.35,7.623,1,1.5,-,-
Zurich,H1,2024,Standard product,35.487,12.6,18.877,0.16,2.3,-,-
Neuchâtel,H1,2023,Standard product,36.752,16.57,16.282,1.6,2.3,-,-
Schaffhausen,H1,2011,Standard product,25.801,14.127,10.561,0,0.45,-,-
Thurgau,H1,2015,Standard product,24.419,16.159,6.72525,0.27,1.1,-,-
Basel Stadt,H1,2024,Standard product,34.061,13.329,10.915,7.516,2.3,-,-
Neuchâtel,H1,2017,Standard product,25.828,13.89,8.78,1.56,1.5,-,-
Solothurn,H1,2026,Standard product,36.315,15.18,13.766,1,2.3,4.2,67.2
Thurgau,H1,2022,Standard product,26.225,15.209,7.9,0.3,2.3,-,-
Appenzell Ausserrhoden,H1,2015,Standard product,20.92,11.54,8.28,0,1.1,-,-
Glarus,H1,2022,Standard product,26.16,15.384,6.6,0.3,2.3,-,-
Basel Stadt,H2,2014,Standard product,24.028,8.342,8.123,6.963,0.6,-,-
Jura,H2,2016,Standard product,27.499,15.307,9.392,1.5,1.3,-,-
Basel Stadt,H2,2017,Standard product,26.429,9.698,7.923,7.307,1.5,-,-
Basel Stadt,H2,2015,Standard product,25.107,8.863,8.123,7.02,1.1,-,-
Uri,H2,2019,Standard product,25.65,14.58,7.77,1,2.3,-,-
Uri,H2,2014,Standard product,26.886,15.84,8.816,1.63,0.6,-,-
Lucerne,H2,2026,Standard product,26.798,8.89,12,1.136,2.3,2.472,61.8
Bern,H2,2019,Standard product,26.079,13.762,8.994,1.5,2.3,-,-
Lucerne,H2,2022,Standard product,20.767,8.411,9.216,0.84,2.3,-,-
Jura,H2,2019,Standard product,29.04,14.46,10.78,1.5,2.3,-,-
Jura,H2,2026,Standard product,31.7,12.96,11.58,1.7,2.3,3.16,79
Basel Stadt,H2,2026,Standard product,34.123,11.367,10.868,7.428,2.3,2.16,54
Lucerne,H2,2024,Standard product,29.227,10.061,15.739,1.006,2.3,-,-
Jura,H2,2021,Standard product,28.96,14.38,10.78,1.5,2.3,-,-
Bern,H2,2018,Standard product,25.599,13.889,8.814,1.5,2.3,-,-
Glarus,H2,2024,Standard product,34.087,17.612,13.7,0.3,2.3,-,-
Bern,H2,2016,Standard product,25.366,14.5255,8.942,1.5,1.3,-,-
Basel Stadt,H2,2018,Standard product,27.788,10.018,7.923,7.546,2.3,-,-
Lucerne,H2,2018,Standard product,23.152,10.082,9.762,1.008,2.3,-,-
Jura,H2,2024,Standard product,32.99,16.61,12.58,1.5,2.3,-,-
Bern,H2,2026,Standard product,31.945,12.96,12.15,1.5,2.3,3.16,79
Jura,H2,2017,Standard product,27.647,15.257,9.39,1.5,1.5,-,-
Jura,H2,2018,Standard product,29.234,15.008,10.426,1.5,2.3,-,-
Uri,H2,2012,Standard product,25.57,15.337,8.443,1.34,0.45,-,-
Lucerne,H2,2025,Standard product,22.112,10.284,8.5,1.028,2.3,-,-
Lucerne,H2,2017,Standard product,21.051,10.082,8.46,1.008,1.5,-,-
Jura,H2,2012,Standard product,24.009,12.194,9.865,1.5,0.45,-,-
Bern,H2,2012,Standard product,24.009,12.194,9.865,1.5,0.45,-,-
Jura,H2,2014,Standard product,25.71,13.218,10.392,1.5,0.6,-,-
Schwyz,H2,2020,Standard product,22.378,10.918,7.911,0.7,2.3,-,-
Basel Landschaft,H2,2025,Standard product,34.407,16.171,15.255,0.681,2.3,-,-
Basel Landschaft,H2,2021,Standard product,22.242,11.12,8.263,0.559,2.3,-,-
Schwyz,H2,2025,Standard product,30.602,13.974,12.911,0.81,2.3,-,-
Glarus,H2,2014,Standard product,23.54,16.44,8,0.3,0.6,-,-
Schwyz,H2,2016,Standard product,20.801,11.53,6.5795,0.66,1.3,-,-
Basel Landschaft,H2,2015,Standard product,21.819,10.763,9.111,0.845,1.1,-,-
Glarus,H2,2015,Standard product,23.94,16.34,7.3,0.3,1.1,-,-
Basel Landschaft,H2,2020,Standard product,23.242,11.12,9.263,0.559,2.3,-,-
Schwyz,H2,2019,Standard product,21.681,11.177,6.5095,0.7,2.3,-,-
Glarus,H2,2018,Standard product,23.293,15.0315,5.9615,0.3,2.3,-,-
Basel Landschaft,H2,2011,Standard product,23.434,10.908,11.646,0.43,0.45,-,-
Basel Landschaft,H2,2023,Standard product,33.077,13.418,16.778,0.581,2.3,-,-
Schwyz,H2,2023,Standard product,32.854,12.287,15.455,0.81,2.3,-,-
Glarus,H2,2016,Standard product,23.75,15.529,7.2,0.3,1.3,-,-
Basel Landschaft,H2,2017,Standard product,23.098,11.207,9.63,0.761,1.5,-,-
Schwyz,H2,2017,Standard product,20.612,11.48,6.127,0.7,1.5,-,-
Basel Landschaft,H2,2019,Standard product,23.467,11.122,9.279,0.766,2.3,-,-
Schwyz,H2,2015,Standard product,20.931,11.22,7.088,0.47,1.1,-,-
Basel Stadt,H2,2021,Standard product,27.525,9.858,7.923,7.443,2.3,-,-
Lucerne,H2,2023,Standard product,28.931,9.011,16.716,0.904,2.3,-,-
Schwyz,H2,2011,Standard product,20.295,12.192,8.141,0.61,0.45,-,-
Glarus,H2,2022,Standard product,24,13.438,6.6,0.3,2.3,-,-
Schwyz,H2,2021,Standard product,22.386,11.019,7.306,0.81,2.3,-,-
Basel Landschaft,H2,2026,Standard product,34.207,15.544,13.732,0.711,2.3,1.92,48
