Canton,Consumption profiles of typical households,Period,Product,Total excl. VAT (Rp./kWH),Grid usage (Rp./kWH),Energy supply costs (Rp./kWH),Community fees (Rp./kWH),Feed-in remuneration at cost (KEV) (Rp./kWH),Metering rate (Rp./kWH),Tariff for metering in CHF per year
Glarus,C3,2018,Cheapest product,17.547,7.827,6.32,0.3,2.3,-,-
Appenzell Innerrhoden,H5,2022,Cheapest product,17.626,7.979,7.347,0,2.3,-,-
Appenzell Innerrhoden,C3,2019,Cheapest product,14.359,6.225,5.834,0,2.3,-,-
Jura,C3,2021,Cheapest product,20.966,9.953,8.513,0.2,2.3,-,-
Bern,C3,2022,Cheapest product,21.142,9.579,9.162,0.2,2.3,-,-
Vaud,H4,2022,Cheapest product,23.52,10.246,8.404,2.57,2.3,-,-
Appenzell Innerrhoden,C3,2020,Cheapest product,14.907,5.871,6.737,0,2.3,-,-
Aargau,C4,2023,Cheapest product,21.612,8.024,10.835,0.454,2.3,-,-
Thurgau,H4,2021,Cheapest product,18.389,9.71,6.813,0.26,2.3,-,-
St Gallen,C3,2018,Cheapest product,14.886,7.352,5.004,0.6,2.3,-,-
Thurgau,C2,2024,Cheapest product,29.587,11.268,14.2,0.25,2.3,-,-
St Gallen,C3,2022,Cheapest product,17.692,7.512,7.04,0.6,2.3,-,-
Vaud,H5,2026,Cheapest product,30.727,11.359,12.199,3.624,2.3,1.245,93.36
Bern,C3,2025,Cheapest product,23.968,11.006,10.462,0.2,2.3,-,-
Neuchâtel,H5,2026,Cheapest product,27.756,13.356,9.54,1.6,2.3,0.96,72
Obwalden,H4,2023,Cheapest product,29.376,10.814,14.862,1.4,2.3,-,-
Obwalden,H4,2025,Cheapest product,26.413,13.12,9.593,1.4,2.3,-,-
Vaud,H4,2026,Cheapest product,32.902,12.233,12.67,3.624,2.3,2.075,93.36
Thurgau,C4,2020,Cheapest product,16.304,7.741,6.42,0.31,2.3,-,-
Ticino,H4,2022,Cheapest product,20.983,8.743,7.75,2.19,2.3,-,-
Ticino,H4,2024,Cheapest product,31.241,12.411,14.4,2.13,2.3,-,-
Appenzell Innerrhoden,H6,2021,Cheapest product,15.073,5.813,6.96,0,2.3,-,-
Solothurn,H4,2022,Cheapest product,22.82,11.313,8.265,0.55,2.3,-,-
Appenzell Ausserrhoden,H4,2025,Cheapest product,29.123,11.833,14.99,0,2.3,-,-
Obwalden,H6,2019,Cheapest product,16.86,7.633,5.527,1.4,2.3,-,-
Zurich,H5,2026,Cheapest product,21.086,9.162,6.52,2,2.3,1.104,82.8
Aargau,C2,2024,Cheapest product,31.36,10.19,18.549,0.65,2.3,-,-
Fribourg,C3,2020,Cheapest product,19.361,6.541,10.52,0,2.3,-,-
Fribourg,C3,2019,Cheapest product,19.081,6.261,10.52,0,2.3,-,-
Fribourg,C3,2018,Cheapest product,19.528,6.708,10.52,0,2.3,-,-
Appenzell Innerrhoden,C3,2025,Cheapest product,26.414,9.707,14.407,0,2.3,-,-
St Gallen,C3,2023,Cheapest product,24.171,7.761,12.5,1,2.3,-,-
Bern,C3,2020,Cheapest product,20.936,9.953,8.513,0.2,2.3,-,-
Glarus,C3,2021,Cheapest product,18.885,10.308,5.977,0.3,2.3,-,-
Schaffhausen,H5,2022,Cheapest product,17.86,8.661,6.899,0,2.3,-,-
Glarus,C3,2023,Cheapest product,28.456,12.351,13.505,0.3,2.3,-,-
Lucerne,C2,2026,Cheapest product,22.22,7.63,11.3,0.784,2.3,0.206,61.8
Vaud,H6,2018,Cheapest product,15.699,5.826,6.672,0.9,2.3,-,-
Schwyz,C3,2024,Cheapest product,30.0395,10.96,15.804,1.24,2.3,-,-
Jura,H6,2023,Cheapest product,16.7,5.961,7.786,0.654,2.3,-,-
Glarus,C3,2022,Cheapest product,19.885,10.308,6.977,0.3,2.3,-,-
Glarus,C3,2019,Cheapest product,19.452,10.965,5.887,0.3,2.3,-,-
Schwyz,C3,2023,Cheapest product,33.421,9.115,22.438,1.24,2.3,-,-
Schwyz,C3,2021,Cheapest product,18.019,8.279,6.021,1.24,2.3,-,-
Basel Landschaft,H6,2026,Cheapest product,23.711,11.462,9.337,0.34,2.3,0.271,67.8
Lucerne,H4,2018,Cheapest product,21.668,9.998,8.371,1,2.3,-,-
Glarus,C3,2024,Cheapest product,29.55,13.45,12.8,1,2.3,-,-
