OBJECTID;EGID;NO_AUTOR;CATEGORIE_BATPRO;NOMBAT;DESTINATION;NOMENCLATURE;NOMEN_CLASSE;NIVEAUX_HORSOL;NIVEAUX_SSOL;HAUTEUR;DATEDT;TYPE;GENRE;COMMUNE;SHAPE.AREA;SHAPE.LEN
1568;295125605;DD 318019;Véranda;;Habitation un logement;1.1.1;Habitation;2;0;3.11;20220217111529;Transformation;Hors-sol;Cologny;20.705821935;18.665475938798
1569;295526152;DD 318094;Bâtiment;;Dépôt;3.5.1;Activités;1;0;5.3;20220218161643;Nouveau;Hors-sol;Bernex;50.65354326;28.4797660808062
1570;295528131;DD 326788;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;11;0;32.72;20240702095916;Nouveau;Hors-sol;Genève-Petit-Saconnex;485.313733675;100.138933160272
1571;295528757;DD 329773;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;3.1;20240702103758;Nouveau;Sous-sol;Genève-Petit-Saconnex;802.204386915;134.190764605703
1572;295526159;DD 318193;Bâtiment;;Hangar;3.5.2;Activités;1;0;8.96;20220224102335;Nouveau;Hors-sol;Meyrin;687.88413573;121.903877116998
1573;295528756;DD 329773;Bâtiment;;Hab. - rez activités;2.1.1;Mixte: logements/activités ou équipement collectifs;9;0;29.02;20240702103758;Nouveau;Hors-sol;Genève-Petit-Saconnex;739.41159273;145.184092858741
1574;295526171;DD 314906;Bâtiment;;Autre bât. d'activités;3.7.1;Activités;6;0;26.19;20220228122806;Nouveau;Hors-sol;Meyrin;1001.66689342;145.020036460533
1575;295526172;DD 318138;Bâtiment;;Serre;3.1.1;Activités;1;0;5.44;20220228135513;Nouveau;Hors-sol;Bardonnex;26.3544438;21.3599223968671
1576;1007650;APA 318477;Véranda;;Habitation un logement;1.1.1;Habitation;1;0;2.9;20220328102739;Transformation;Hors-sol;Collonge-Bellerive;19.37222559;17.6498925334587
1577;295526832;DD 321052;Bâtiment;;Hab. - rez activités;2.1.1;Mixte: logements/activités ou équipement collectifs;5;0;15.29;20220829105321;Nouveau;Hors-sol;Plan-les-Ouates;247.855790435;63.2439777650204
1578;295527391;DD 323754;Bâtiment;;Poulailler;3.1.3;Activités;1;0;2.47;20221219090019;Nouveau;Hors-sol;Lancy;144.51741074;57.4952382892827
