EGID;VOLUME;SURFACE_TOTALE;SURFACE_PARTAGE;SURFACE_TOTALE_HS;DATE_LEVE;OBJECTID
1019381;12216.692;3166;830.69;3158.157;20230301;80094
2041891;1080.703;334;67.98;327.011;20230301;80095
1026917;929.477;265;0;204.013;20230301;80096
1031135;1078.77;291;0;237.463;20230301;80239
295525596;53.893;42;0;37.543;20230301;80240
295518312;1396.358;538;174.11;516.895;20230301;80241
1014628;9587.33;2152;382.36;2039.217;20230301;80242
1003682;5561.892;1122;189.21;1099.587;20230301;80243
295521644;463.15;211;30.54;210.82;20230301;80244
295083410;277.015;119;0;99.571;20230301;80245
295522532;116.893;85;0;78.701;20230301;80246
1022349;567.314;280;117.12;261.929;20230301;80247
295157134;480.077;277;130.11;221.918;20230301;80248
295087997;102.451;79;0;61.662;20230301;80380
295094578;56.445;42;0;15.571;20230301;80381
1022633;651.845;238;0;230.022;20230301;80382
295516627;60.932;54;37.93;52.507;20230301;80383
295523715;44.933;62;0;60.973;20230301;80384
295513846;125.27;87;41.71;83.979;20230301;80385
1004289;1272.028;311;0;300.271;20230301;80386
295085066;689.988;338;47.06;292.679;20230301;80387
295102100;9.015;44;15.19;44.428;20230301;80388
1027435;662.488;316;0;290.144;20230301;80389
295517680;822.518;370;0;344.92;20230301;80541
295527925;89.278;61;0;58.533;20230301;80542
2044182;743.109;234;0;209.715;20230301;80543
1031468;1159.791;391;0;352.759;20230301;80544
295511185;5193.086;1457;417.57;1445.244;20230301;80545
295520275;431.472;221;0;216.149;20230301;80546
295514672;690.797;330;188.83;286.241;20230301;80547
295081431;334.986;131;0;123.506;20230301;80548
295523702;53.491;58;0;57.982;20230301;80549
2042025;2881.037;570;0;480.864;20230301;80550
295096299;111.719;77;0;73.756;20230301;80666
295519658;534.64;244;76.05;234.827;20230301;80667
295075976;540.411;230;106.53;218.462;20230301;80668
295510191;535.709;239;0;230.711;20230301;80669
295526771;35.308;36;0;34.86;20230301;80670
295517066;645.603;243;0;237.917;20230301;80671
295524642;44.129;50;0;50.406;20230301;80672
9082243;1148.51;371;30.78;341.743;20230301;80673
1031261;728.719;284;43.89;271.322;20230301;80674
3131964;1054.366;309;0;303.359;20230301;80675
1019386;12078.84;3176;1651.31;3169.666;20230301;80676
295516125;3225.47;717;0;601.211;20230301;80677
295519975;9698.653;2594;480.36;2540.336;20230301;80830
295517117;643.85;234;0;233.347;20230301;80831
295516494;697.219;363;103.27;292.266;20230301;80832
295514434;690.188;239;44.87;238.535;20230301;80833
295075420;126.738;72;0;64.488;20230301;80834
295520480;492.225;236;0;232.707;20230301;80835
295091264;198.403;139;0;134.883;20230301;80836
2037485;38702.239;2715;0;2265.574;20230301;80990
295524640;21.039;31;0;29.88;20230301;80991
295527623;37917.189;4802;903.09;4011.419;20230301;80992
295521335;555.856;211;45.05;205.946;20230301;80993
295113359;1060.272;341;86.04;334.354;20230301;80994
295524193;65.01;66;32.49;65.994;20230301;80995
2034880;8352.73;1817;350.13;1804.471;20230301;80996
295518722;544.01;255;62.27;219.479;20230301;80997
295523327;51.576;83;30.34;81.305;20230301;80998
295081752;24.147;105;34.85;105.207;20230301;80999
1003348;2568.136;590;147.75;584.378;20230301;81000
1027120;1723.966;506;0;469.654;20230301;81001
1016558;470.161;237;81.95;236.832;20230301;78951
295522543;512.93;237;69.4;226.83;20230301;78952
